2021-12-07 00:55:15 [DEBUG] src.evaluation.config: Logger initialized
2021-12-07 00:55:15 [INFO] src.evaluation.evaluator: Training LSTM-ED on Syn Extreme Outliers (extremeness=16.0) with seed 1529992487
2021-12-07 00:55:25 [DEBUG] root: Epoch 1/40.
2021-12-07 00:55:27 [DEBUG] root: Epoch 2/40.
2021-12-07 00:55:28 [DEBUG] root: Epoch 3/40.
2021-12-07 00:55:29 [DEBUG] root: Epoch 4/40.
2021-12-07 00:55:31 [DEBUG] root: Epoch 5/40.
2021-12-07 00:55:32 [DEBUG] root: Epoch 6/40.
2021-12-07 00:55:34 [DEBUG] root: Epoch 7/40.
2021-12-07 00:55:35 [DEBUG] root: Epoch 8/40.
2021-12-07 00:55:37 [DEBUG] root: Epoch 9/40.
2021-12-07 00:55:38 [DEBUG] root: Epoch 10/40.
2021-12-07 00:55:39 [DEBUG] root: Epoch 11/40.
2021-12-07 00:55:41 [DEBUG] root: Epoch 12/40.
2021-12-07 00:55:42 [DEBUG] root: Epoch 13/40.
2021-12-07 00:55:44 [DEBUG] root: Epoch 14/40.
2021-12-07 00:55:45 [DEBUG] root: Epoch 15/40.
2021-12-07 00:55:47 [DEBUG] root: Epoch 16/40.
2021-12-07 00:55:48 [DEBUG] root: Epoch 17/40.
2021-12-07 00:55:50 [DEBUG] root: Epoch 18/40.
2021-12-07 00:55:51 [DEBUG] root: Epoch 19/40.
2021-12-07 00:55:52 [DEBUG] root: Epoch 20/40.
2021-12-07 00:55:54 [DEBUG] root: Epoch 21/40.
2021-12-07 00:55:55 [DEBUG] root: Epoch 22/40.
2021-12-07 00:55:57 [DEBUG] root: Epoch 23/40.
2021-12-07 00:55:58 [DEBUG] root: Epoch 24/40.
2021-12-07 00:56:00 [DEBUG] root: Epoch 25/40.
2021-12-07 00:56:01 [DEBUG] root: Epoch 26/40.
2021-12-07 00:56:02 [DEBUG] root: Epoch 27/40.
2021-12-07 00:56:04 [DEBUG] root: Epoch 28/40.
2021-12-07 00:56:05 [DEBUG] root: Epoch 29/40.
2021-12-07 00:56:07 [DEBUG] root: Epoch 30/40.
