2021-12-12 01:27:40 [DEBUG] src.evaluation.config: Logger initialized
2021-12-12 01:27:41 [INFO] src.evaluation.adsb_evaluator: Training lstm_ed on ADS-B with seed 2857236457
2021-12-12 01:27:44 [DEBUG] root: Epoch 1/40.
2021-12-12 01:31:23 [DEBUG] root: Epoch 2/40.
2021-12-12 01:35:04 [DEBUG] root: Epoch 3/40.
2021-12-12 01:38:43 [DEBUG] root: Epoch 4/40.
2021-12-12 01:42:20 [DEBUG] root: Epoch 5/40.
2021-12-12 01:46:01 [DEBUG] root: Epoch 6/40.
2021-12-12 01:49:43 [DEBUG] root: Epoch 7/40.
2021-12-12 01:53:23 [DEBUG] root: Epoch 8/40.
2021-12-12 01:57:02 [DEBUG] root: Epoch 9/40.
2021-12-12 02:00:42 [DEBUG] root: Epoch 10/40.
2021-12-12 02:04:22 [DEBUG] root: Epoch 11/40.
2021-12-12 02:08:02 [DEBUG] root: Epoch 12/40.
2021-12-12 02:11:43 [DEBUG] root: Epoch 13/40.
2021-12-12 02:15:23 [DEBUG] root: Epoch 14/40.
2021-12-12 02:19:03 [DEBUG] root: Epoch 15/40.
2021-12-12 02:22:43 [DEBUG] root: Epoch 16/40.
2021-12-12 02:26:25 [DEBUG] root: Epoch 17/40.
2021-12-12 02:30:06 [DEBUG] root: Epoch 18/40.
2021-12-12 02:33:46 [DEBUG] root: Epoch 19/40.
2021-12-12 02:37:24 [DEBUG] root: Epoch 20/40.
2021-12-12 02:41:04 [DEBUG] root: Epoch 21/40.
2021-12-12 02:44:45 [DEBUG] root: Epoch 22/40.
2021-12-12 02:48:25 [DEBUG] root: Epoch 23/40.
2021-12-12 02:52:06 [DEBUG] root: Epoch 24/40.
2021-12-12 02:55:46 [DEBUG] root: Epoch 25/40.
2021-12-12 02:59:27 [DEBUG] root: Epoch 26/40.
2021-12-12 03:03:07 [DEBUG] root: Epoch 27/40.
2021-12-12 03:06:48 [DEBUG] root: Epoch 28/40.
2021-12-12 03:10:27 [DEBUG] root: Epoch 29/40.
