2021-12-12 03:13:27 [DEBUG] src.evaluation.config: Logger initialized
2021-12-12 03:13:28 [INFO] src.evaluation.adsb_evaluator: Training lstm_ved on ADS-B with seed 20
2021-12-12 03:13:32 [DEBUG] root: Epoch 1/50.
2021-12-12 03:17:26 [DEBUG] root: Epoch 2/50.
2021-12-12 03:21:21 [DEBUG] root: Epoch 3/50.
2021-12-12 03:25:17 [DEBUG] root: Epoch 4/50.
2021-12-12 03:29:11 [DEBUG] root: Epoch 5/50.
2021-12-12 03:33:05 [DEBUG] root: Epoch 6/50.
2021-12-12 03:37:00 [DEBUG] root: Epoch 7/50.
2021-12-12 03:40:53 [DEBUG] root: Epoch 8/50.
2021-12-12 03:44:47 [DEBUG] root: Epoch 9/50.
2021-12-12 03:48:41 [DEBUG] root: Epoch 10/50.
2021-12-12 03:52:35 [DEBUG] root: Epoch 11/50.
2021-12-12 03:56:29 [DEBUG] root: Epoch 12/50.
2021-12-12 04:00:22 [DEBUG] root: Epoch 13/50.
2021-12-12 04:04:17 [DEBUG] root: Epoch 14/50.
2021-12-12 04:08:10 [DEBUG] root: Epoch 15/50.
2021-12-12 04:12:05 [DEBUG] root: Epoch 16/50.
2021-12-12 04:16:00 [DEBUG] root: Epoch 17/50.
2021-12-12 04:19:55 [DEBUG] root: Epoch 18/50.
2021-12-12 04:23:49 [DEBUG] root: Epoch 19/50.
2021-12-12 04:27:44 [DEBUG] root: Epoch 20/50.
2021-12-12 04:31:39 [DEBUG] root: Epoch 21/50.
2021-12-12 04:35:35 [DEBUG] root: Epoch 22/50.
2021-12-12 04:39:30 [DEBUG] root: Epoch 23/50.
2021-12-12 04:43:24 [DEBUG] root: Epoch 24/50.
2021-12-12 04:47:18 [DEBUG] root: Epoch 25/50.
2021-12-12 04:51:13 [DEBUG] root: Epoch 26/50.
2021-12-12 04:55:09 [DEBUG] root: Epoch 27/50.
2021-12-12 04:59:04 [DEBUG] root: Epoch 28/50.
2021-12-12 05:02:59 [DEBUG] root: Epoch 29/50.
2021-12-12 05:06:54 [DEBUG] root: Epoch 30/50.
2021-12-12 05:10:48 [DEBUG] root: Epoch 31/50.
2021-12-12 05:14:41 [DEBUG] root: Epoch 32/50.
2021-12-12 05:18:37 [DEBUG] root: Epoch 33/50.
2021-12-12 05:22:32 [DEBUG] root: Epoch 34/50.
2021-12-12 05:26:28 [DEBUG] root: Epoch 35/50.
2021-12-12 05:30:24 [DEBUG] root: Epoch 36/50.
2021-12-12 05:34:18 [DEBUG] root: Epoch 37/50.
2021-12-12 05:38:14 [DEBUG] root: Epoch 38/50.
2021-12-12 05:42:08 [DEBUG] root: Epoch 39/50.
2021-12-12 05:46:04 [DEBUG] root: Epoch 40/50.
2021-12-12 05:49:59 [DEBUG] root: Epoch 41/50.
2021-12-12 05:53:54 [DEBUG] root: Epoch 42/50.
2021-12-12 05:57:50 [DEBUG] root: Epoch 43/50.
2021-12-12 06:01:45 [DEBUG] root: Epoch 44/50.
2021-12-12 06:05:41 [DEBUG] root: Epoch 45/50.
2021-12-12 06:09:37 [DEBUG] root: Epoch 46/50.
2021-12-12 06:13:32 [DEBUG] root: Epoch 47/50.
2021-12-12 06:17:27 [DEBUG] root: Epoch 48/50.
2021-12-12 06:21:19 [DEBUG] root: Epoch 49/50.
2021-12-12 06:25:08 [DEBUG] root: Epoch 50/50.
2021-12-12 06:29:35 [DEBUG] matplotlib.font_manager: findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0.
2021-12-12 06:29:35 [DEBUG] matplotlib.font_manager: findfont: score(FontEntry(fname='/mnt/hdd0/yty/miniconda3/envs/DeepADoTS/lib/python3.7/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizFourSymBol.ttf', name='STIXSizeFourSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2021-12-12 06:29:35 [DEBUG] matplotlib.font_manager: findfont: score(FontEntry(fname='/mnt/hdd0/yty/miniconda3/envs/DeepADoTS/lib/python3.7/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-BoldOblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 1.335
2021-12-12 06:29:35 [DEBUG] matplotlib.font_manager: findfont: score(FontEntry(fname='/mnt/hdd0/yty/miniconda3/envs/DeepADoTS/lib/python3.7/site-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneralItalic.ttf', name='STIXGeneral', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2021-12-12 06:29:35 [DEBUG] matplotlib.font_manager: findfont: score(FontEntry(fname='/mnt/hdd0/yty/miniconda3/envs/DeepADoTS/lib/python3.7/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansMono.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2021-12-12 06:29:35 [DEBUG] matplotlib.font_manager: findfont: score(FontEntry(fname='/mnt/hdd0/yty/miniconda3/envs/DeepADoTS/lib/python3.7/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-Oblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 1.05
2021-12-12 06:29:35 [DEBUG] matplotlib.font_manager: findfont: score(FontEntry(fname='/mnt/hdd0/yty/miniconda3/envs/DeepADoTS/lib/python3.7/site-packages/matplotlib/mpl-data/fonts/ttf/cmb10.ttf', name='cmb10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2021-12-12 06:29:35 [DEBUG] matplotlib.font_manager: findfont: score(FontEntry(fname='/mnt/hdd0/yty/miniconda3/envs/DeepADoTS/lib/python3.7/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif-Bold.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2021-12-12 06:29:35 [DEBUG] matplotlib.font_manager: findfont: score(FontEntry(fname='/mnt/hdd0/yty/miniconda3/envs/DeepADoTS/lib/python3.7/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizOneSymReg.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2021-12-12 06:29:35 [DEBUG] matplotlib.font_manager: findfont: score(FontEntry(fname='/mnt/hdd0/yty/miniconda3/envs/DeepADoTS/lib/python3.7/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUniBol.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2021-12-12 06:29:35 [DEBUG] matplotlib.font_manager: findfont: score(FontEntry(fname='/mnt/hdd0/yty/miniconda3/envs/DeepADoTS/lib/python3.7/site-packages/matplotlib/mpl-data/fonts/ttf/cmss10.ttf', name='cmss10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2021-12-12 06:29:35 [DEBUG] matplotlib.font_manager: findfont: score(FontEntry(fname='/mnt/hdd0/yty/miniconda3/envs/DeepADoTS/lib/python3.7/site-packages/matplotlib/mpl-data/fonts/ttf/cmr10.ttf', name='cmr10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2021-12-12 06:29:35 [DEBUG] matplotlib.font_manager: findfont: score(FontEntry(fname='/mnt/hdd0/yty/miniconda3/envs/DeepADoTS/lib/python3.7/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUniBolIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
