2022-01-13 13:36:24 [DEBUG] src.evaluation.config: Logger initialized
2022-01-13 13:36:24 [INFO] src.evaluation.adsb_evaluator: Training lstm_ved on ADS-B with seed 20
2022-01-13 13:36:27 [DEBUG] root: Epoch 1/40.
2022-01-13 13:38:10 [DEBUG] root: Epoch 2/40.
2022-01-13 13:39:55 [DEBUG] root: Epoch 3/40.
2022-01-13 13:41:39 [DEBUG] root: Epoch 4/40.
2022-01-13 13:43:23 [DEBUG] root: Epoch 5/40.
2022-01-13 13:45:07 [DEBUG] root: Epoch 6/40.
2022-01-13 13:46:51 [DEBUG] root: Epoch 7/40.
2022-01-13 13:48:35 [DEBUG] root: Epoch 8/40.
2022-01-13 13:50:20 [DEBUG] root: Epoch 9/40.
2022-01-13 13:52:05 [DEBUG] root: Epoch 10/40.
2022-01-13 13:53:51 [DEBUG] root: Epoch 11/40.
2022-01-13 13:55:36 [DEBUG] root: Epoch 12/40.
2022-01-13 13:57:21 [DEBUG] root: Epoch 13/40.
2022-01-13 13:59:06 [DEBUG] root: Epoch 14/40.
2022-01-13 14:00:53 [DEBUG] root: Epoch 15/40.
2022-01-13 14:02:38 [DEBUG] root: Epoch 16/40.
2022-01-13 14:04:25 [DEBUG] root: Epoch 17/40.
2022-01-13 14:06:11 [DEBUG] root: Epoch 18/40.
2022-01-13 14:07:55 [DEBUG] root: Epoch 19/40.
2022-01-13 14:09:40 [DEBUG] root: Epoch 20/40.
2022-01-13 14:11:26 [DEBUG] root: Epoch 21/40.
2022-01-13 14:13:10 [DEBUG] root: Epoch 22/40.
2022-01-13 14:14:56 [DEBUG] root: Epoch 23/40.
2022-01-13 14:16:42 [DEBUG] root: Epoch 24/40.
2022-01-13 14:18:27 [DEBUG] root: Epoch 25/40.
2022-01-13 14:20:12 [DEBUG] root: Epoch 26/40.
2022-01-13 14:21:57 [DEBUG] root: Epoch 27/40.
2022-01-13 14:23:49 [DEBUG] root: Epoch 28/40.
2022-01-13 14:25:36 [DEBUG] root: Epoch 29/40.
2022-01-13 14:27:23 [DEBUG] root: Epoch 30/40.
2022-01-13 14:29:10 [DEBUG] root: Epoch 31/40.
2022-01-13 14:31:05 [DEBUG] root: Epoch 32/40.
